old,job-title,salary,state,experience,education,gender
3,City Research Scientist II,"87,000",New York,3,2,1
4,Project engineer ,"122,000",,5,2,2
3,Pricing Analyst,"45,000",,3,2,2
3,Marketing Coordinator,"45,000",South Carolina,3,0,2
4,Tech Writer,"88,000",Maryland,5,1,2
4,Supervisory Archivist,"71,000",New York,5,2,2
5,Program Manager,"71,000",Illinois,5,3,2
4,High School Teacher at an independent school,"75,000",Georgia,5,2,2
4,Manager of Market Research and Data,"80,000",North Carolina,6,2,2
4,Senior Business Analyst,"125,000",New York,5,2,2
4,Special Collections Cataloger,"65,000",Pennsylvania,5,2,2
5,Teacher ,"36,000",,6,1,2
3,Graphic Designer / Webmaster,"55,000",Minnesota,2,1,2
3,Senior UX Designer,"90,000",Pennsylvania,5,1,2
4,Senior Engineer ,"105,000",Pennsylvania,4,1,2
4,Office Administrator,"60,000",,5,0,1
4,Digital Archivist,"65,000",Pennsylvania,5,2,2
3,Associate Program Manager,"85,000",Illinois,3,2,2
3,CSR,"39,520",Oregon,4,0,2
5,Director of Engineering,"115,000",,6,2,1
3,Fuel Efficiency Program Analyst,"76,000",District of Columbia,4,1,2
6,Senior Vice President of Marketing,"180,000",Massachusetts,7,2,2
3,Accounting Manager,"90,000",Tennessee,3,2,2
3,Technical Assistant,"19,300",,3,0,1
6,Senior Administrative Assistant and Project Specialist,"65,000",Washington,7,2,2
5,senior web application developer,"98,166",Indiana,6,1,1
3,Director of Development,"63,500",Tennessee,3,2,2
6,Quality Assurance Lead,58,Maryland,6,2,2
3,Program & Administrative Assistant,"47,700",District of Columbia,3,1,2
6,Chief Engineer,"87,000",Ohio,7,0,1
4,Production Co-ordinator,"48,000",,4,1,2
3,Administrative Support Assistant,"39,635",Florida,2,1,2
3,Administrative Officer,"53,000",North Carolina,4,1,1
5,Executive Secretary/Secretary to Board of School Trustees,"47,255",Indiana,7,0,2
4,Senior Project Manager,"196,000",New York,5,1,1
5,Customer Service Representative,"34,361",Arizona,6,1,2
5,Senior Device Engineer,"150,000",Colorado,6,1,2
3,Graphic Designer,"75,000",New York,3,1,2
4,Graduate Student,"20,000",Minnesota,3,1,2
3,Senior Financial Analyst,"107,220",Texas,4,2,2
4,Case Manager,"78,000",,5,1,2
5,Professor,"95,000",Michigan,6,3,1
5,Office Manager,"42,000",New Hampshire,6,2,2
3,Finance Manager,"100,000",New York,3,2,2
3,Software engineer,"50,000",,3,0,1
4,Medical Education Director,"119,000",California,5,1,2
5,Finance acountant,"66,000",,6,2,2
4,Program manager,"60,000",,5,2,2
3,Associate Director of Donor Relations,"75,000",Massachusetts,5,1,2
4,Assistant Professor of Law,"145,000",New York,2,3,2
3,investment advisor,"95,000",,2,1,2
3,Content Writer,"48,000",Missouri,3,2,2
5,Assistant Director of Finance,"75,000",Illinois,6,1,2
4,Digital Marketing Specialist,"42,000",Pennsylvania,5,1,2
4,Archivist,"54,000",Iowa,6,2,2
4,Assistant Professor,"92,000",,3,3,2
5,Head of Public Sector Data Sharing ,"50,870",,6,2,2
6,QC Supervisor,"60,000",California,7,1,2
6,Content Development Manager,"101,500",District of Columbia,7,1,2
3,Clinical Research Assistant II,"36,883",Massachusetts,2,1,2
3,news editor,"85,000",New York,5,1,2
3,Senior Administrative Assistant ,"62,000",Massachusetts,3,1,2
4,Product Manager,"130,000",,5,1,1
6,career services professional,"55,000",,6,2,2
3,Project Coordinator,"59,015",New Jersey,4,1,2
3,"Associate Manager, Education","71,000",New York,3,1,2
5,Director,"53,000",Wisconsin,6,2,2
3,Senior Librarian,"63,000",Virginia,3,2,2
4,Project Estimator,"95,000",Michigan,6,1,2
4,Accounts manager ,"85,000",,5,2,1
4,Customer Advocate,"35,000",Pennsylvania,5,0,2
2,Customer Service Specialist,"33,280",Florida,3,1,0
4,Accounts Payable Manager,"56,000",Tennessee,5,0,2
4,Associate Director,"85,000",Illinois,5,1,2
4,Editor,"62,000",Texas,5,1,2
3,Staff Attorney,"74,000",Michigan,4,2,0
3,Program Associate,"63,000",District of Columbia,3,1,2
3,Senior People Advisor,"45,000",,5,1,2
3,English as a Second Language Teacher,"18,000",,4,1,2
4,Online Sales Support Manager,"86,000",,5,1,2
2,PhD Candidate,"19,000",,2,2,1
4,Research Technologist,"42,000",Nebraska,5,2,1
6,RIM Manager,"114,000",Massachusetts,6,1,1
5,Senior Client Service Representative,"73,000",Colorado,7,0,2
4,Funding Manager,"54,000",,5,1,2
5,Clinical analyst,"100,000",Georgia,6,2,2
3,Editor,"27,000",,5,1,2
2,Policy Analyst ,"60,129",District of Columbia,2,2,2
5,Research Scientist,"135,000",Texas,5,3,2
3,Service Designer,"130,000",Virginia,5,1,2
3,Librarian,"26,000",Oklahoma,2,2,2
3,Senior Accountant,"60,000",Ohio,3,2,2
4,Administrative Assistant,"37,000",Ohio,5,1,2
3,User experience specialist,"85,000",South Carolina,3,1,2
4,Self-employed writer,"45,000",Texas,5,1,2
3,Director of Development,"92,000",Massachusetts,4,2,2
3,occupational therapist,35,,2,1,2
3,Production Technician,"65,000",Wisconsin,3,1,1
4,Graphic Designer,"35,000",Indiana,5,1,2
3,Compliance Officer,"74,000",Oklahoma,4,1,2
3,Director of Intelligence,"102,500",Florida,3,1,1
3,Program Analyst,"117,500",,4,2,
4,Coordinator of Survivor Services,"70,000",Pennsylvania,5,2,2
5,Software Development Manager,"140,000",Colorado,6,0,2
4,Project Architect,"58,000",New Jersey,5,2,2
4,Brand Consultant,"400,000",New York,5,1,2
4,HR director,"61,200",Illinois,5,2,2
3,Marketing Director ,"85,000",,4,1,2
3,Talent Acquisition Specialist,"66,000",Georgia,2,1,2
4,technical support specialist,"70,000",Texas,4,1,2
3,Communications Specialist,"52,000",Massachusetts,3,1,2
5,CAD Manager,"75,500",Florida,6,0,2
3,Content Strategist and Writer,"57,000",Virginia,4,2,2
3,Associate,"83,200",District of Columbia,4,2,2
2,"Manager, Planning","77,500",New York,2,1,2
4,Fulfillment Expert,"31,200",Florida,5,1,2
3,Midwife,"31,000",,2,2,2
4,Associate Creative Director,"215,000",New York,5,1,2
3,Administrative Specialist,"55,000",Illinois,4,1,1
5,Senior Corporate Counsel,"220,000",California,5,3,2
3,Head of Data & Analytics,"100,000",Illinois,4,1,2
3,Systems Analyst,"80,000",,3,2,2
4,Associate Director ,"63,000",Texas,5,,2
3,Librarian,"52,500",North Carolina,3,2,2
3,UX designer,"36,000",,2,2,2
3,Lead business controls specialist,"94,000",Illinois,2,1,2
3,Product Engineer,"57,000",Washington,3,1,2
4,Senior Technical Writer,"83,000",California,4,1,2
4,Senior Director,"90,000",District of Columbia,5,1,2
4,Hotel Sales Manager,"66,950",Indiana,4,1,2
3,Planner,"76,000",California,2,1,2
3,Principal Engineer,"52,000",,4,2,2
3,Information and Program Manager,"70,000",Pennsylvania,4,2,2
3,Assistant Professor,"60,000",,2,3,0
4,Media and PR,"80,000",Nebraska,5,2,2
4,Technical assistance provider,"70,000",Massachusetts,5,2,2
3,Library Specialist,"34,299",Maine,4,2,2
3,Strategic Operations and Programme Manager,"90,000",,5,2,2
4,"Assistant Director, Student Affairs","50,000",New York,5,2,2
4,Director of Client Services,"85,000",New York,5,1,2
4,Loss prevention manager,"87,000",California,4,0,2
4,Associate Attorney,"125,000",District of Columbia,5,2,2
4,Administrative Associate,"55,000",Texas,5,0,2
6,Attorney,"275,000",Minnesota,7,2,2
3,Operations Manager,"48,500",Massachusetts,3,1,2
4,Software engineer,"139,000",Washington,5,1,2
3,Paralegal / Legal Assistant,"54,080",Michigan,5,1,2
4,Manager & Actuary,"170,000",,5,2,2
3,Marketing Manager,"60,000",,4,1,2
5,Librarian,"70,000",Texas,6,2,1
3,Communications Associate,"53,000",District of Columbia,3,1,2
4,Cytotechnologist ,"82,160",Wisconsin,5,2,2
3,Onboarding Partner,"71,000",New York,5,1,2
2,Graduate Research Assitant,"25,700",Indiana,3,1,2
3,Deputy C-level,"105,000",,4,1,2
4,"Librarian, non-supervisory","77,000",Pennsylvania,5,2,2
4,Content Strategist,"50,000",Arizona,5,2,2
3,Programme Administrator,"25,217",,3,1,2
3,Public Service Tech,"31,616",Georgia,3,1,0
4,EOS,"95,000",New York,5,2,2
2,Data Analyst,"62,000",Massachusetts,1,1,2
4,Sr Associate - Quality Assurance,"75,000",Indiana,5,1,2
3,High school teacher ,"71,000",New York,3,1,0
5,Business Analyst,"88,000",North Carolina,6,2,2
3,Assistant to Property Managers,"31,500",South Carolina,4,1,2
3,IT Training Specialist,"76,000",Massachusetts,3,2,2
4,Principal Statistical Programmer,"165,000",Massachusetts,6,1,0
3,Reporting Analyst ,"45,760",California,5,0,2
3,Communications Manager,"86,000",Florida,3,1,2
3,Project Manager,"78,240",,3,2,2
3,Admissions Advisor,"56,000",Wisconsin,4,2,2
4,Sales support,"23,050",,5,,2
3,Business Development Specialist,"67,000",Minnesota,4,1,2
3,Associate,"125,000",Tennessee,3,2,2
3,Assistant Project Manager,"55,000",Florida,3,1,2
4,Supply chain manager,"125,000",Washington,5,1,2
3,RN,"60,000",Tennessee,4,1,2
3,Associate,"190,000",Massachusetts,1,2,2
5,Land Analyst,"60,320",Pennsylvania,6,0,2
4,Regulatory affairs manager ,"125,000",North Carolina,3,3,2
5,teacher,"94,000",Connecticut,6,3,2
3,NP-PHC,"98,000",,4,2,2
4,Administrative Assistant,"49,000",Oregon,5,0,2
4,Director of Development,"120,000",California,5,1,2
3,Teaching Assistant,"28,000",New Jersey,2,2,0
6,Consultant,"135,000",Illinois,7,1,2
4,Advancement Accounting Assistant,"40,575",Washington,4,1,2
3,Senior monitoring & evaluation adviser ,"75,500",North Carolina,4,2,2
3,Copy supervisor,"115,000",Pennsylvania,3,1,2
4,Policy analyst ,"70,000",Massachusetts,4,2,2
3,Visual Designer,"110,000",Illinois,3,1,2
2,Engineering Student Trainee,"29,000",South Dakota,1,0,2
6,Graphic Designer,"61,000",Illinois,7,1,2
6,Information Technology Specialist,"47,250",West Virginia,5,2,2
4,Sr. Piping Designer,"96,000",Minnesota,5,0,1
4,Network Managet,"260,000",,6,0,0
4,Digital Marketing Specialist,"45,000",Pennsylvania,5,1,2
3,Senior Program Support Associate,"72,000",District of Columbia,2,2,2
3,Editor,"78,167",District of Columbia,3,2,2
3,Senior Operations Manager,"132,500",New York,4,1,2
5,"IT Manager, Financial Systems","124,000",Tennessee,6,2,2
5,Sr Analytic Consultant,"108,000",Minnesota,6,1,1
4,Principal Consultant ,"110,000",North Carolina,5,2,2
4,"Assistant director, communications","83,000",Arizona,5,2,2
3,Geostructural Design Engineer,"110,000",,4,2,2
3,Student Success Center Coordinator,"45,000",Illinois,3,2,2
3,Editor,"91,000",District of Columbia,5,3,2
4,QC Chemistry Manager,"117,000",Minnesota,5,2,2
5,Supervisor ,"59,000",,6,0,2
4,Research administrator ,"71,697",Pennsylvania,4,2,2
5,Senior Property Manager,"90,000",California,7,0,2
4,Director of Alumni Communications,"120,000",Massachusetts,5,1,2
3,Admin Assistant,"52,000",New York,3,2,0
3,Administrator,"61,500",,4,0,2
4,Executive Administrator ,"80,000",New York,6,0,2
3,HR Business Partner,"56,000",Illinois,4,0,2
5,Product Support Representative,"47,840",California,6,1,1
5,Senior Hazard Mitigation Manager,"150,000",Florida,6,2,2
5,Senior Manager of Customer Enablement,"150,000",Massachusetts,6,2,2
5,Senior Consultant,"105,000",Georgia,6,3,2
3,Equity Analyst,"100,000",New York,2,1,2
4,Project Manager-Tech Lead,"97,500",Illinois,5,2,2
3,Operations,"100,000",Texas,3,1,1
5,Senior Project Specialist,"125,000",Massachusetts,6,1,2
4,Public Library Director,"63,000",Wisconsin,5,2,2
3,Business Development Manager ,"50,000",,4,1,2
4,Principal Investigator,"79,000",Colorado,5,2,2
3,Museum Technician,"52,000",Maryland,3,2,1
3,Economist,"109,000",Maryland,3,2,2
5,Associate professor,"54,000",,6,3,2
5,editor,"120,000",Georgia,6,2,2
3,HR Adviser,"40,613",,4,1,2
4,Managing Librarian,"70,000",New York,5,2,2
4,"Manager of cGMP Manufacturing, QA, and QC","110,000",Maryland,5,1,2
3,Event Officer,"58,000",,3,1,2
3,Office Administrator,"58,000",,4,0,2
2,Accountant ,"45,000",Indiana,1,1,2
4,Senior Director of Public Policy,"70,000",Massachusetts,4,2,2
3,Talent Management Manager,"115,000",Massachusetts,3,1,1
3,Internal Communications Executive ,"32,640",,2,2,2
4,Research assistant,"17,000",Pennsylvania,5,2,0
3,Analyst ,"64,000",Maryland,3,1,2
6,Accounting Manager,"66,000",Texas,7,1,2
5,Quality Manager ,"80,000",Pennsylvania,6,1,2
3,Policy Analyst,"78,000",New York,3,2,2
2,Attorney,"65,000",Minnesota,2,2,2
7,RN,"110,000",Wisconsin,8,2,2
4,Bookkeeper self-employed,"114,400",Virginia,6,1,2
3,Senior Recruiter,"111,500",Idaho,5,2,2
3,Assistant Director of Undergraduate Admissions,"58,300",District of Columbia,3,1,2
3,Director of strategic initiatives ,"700,000",New York,5,1,2
4,Software Engineer,"156,000",Massachusetts,6,2,Other or prefer not to answer
5,Agile Coach,"130,000",Minnesota,5,1,2
3,Children's Librarian,"75,000",District of Columbia,4,2,2
3,Librarian ,"39,000",,5,2,2
4,principle product marketing manager,"126,000",Texas,5,1,2
5,Sr. Environmental Manager,"125,000",Pennsylvania,6,1,1
3,Program Manager,"87,000",,2,3,2
4,Executive Office & Admin Specialist,"38,480",Minnesota,5,1,2
4,Early Intervention developmental specialist,"36,000",Massachusetts,5,2,1
3,Grants coordinator,"55,000",New York,4,2,2
3,Account Executive,"53,500",Illinois,4,1,2
3,Youth Services Librarian,"49,600",Texas,4,2,2
3,Associate Director of Annual Giving,"50,000",Georgia,4,1,2
3,Cash Logistics Manager,"57,750",Texas,5,2,2
4,Social Worker / Child Development Specialist,"62,000",Illinois,5,2,2
3,Legislative Analyst,"65,000",California,4,1,2
3,Medical Receptionist,"43,680",Massachusetts,3,1,2
3,Technology Senior Business Analyst,"103,000",Texas,3,1,2
5,Principal Teacher,"51,000",,6,1,2
3,Senior Marketing Specialist,"65,000",Washington,4,1,2
3,Assistant Archivist,"25,000",,2,2,2
3,Strategic Advisor,"93,000",,4,1,2
4,High School counselor ,"75,000",Georgia,6,2,2
4,Service Manager ,"34,500",,5,1,2
2,Developer,"72,500",Illinois,3,1,2
4,"Group Leader, Crop Protection Environmental and Human Safety","86,000",North Carolina,5,1,2
3,Energy Specialist,"75,000",Missouri,5,1,2
3,Editor (Books),"38,000",Massachusetts,4,1,2
3,Medical Social Worker,"63,000",Illinois,4,2,2
4,Children's Librarian,"39,000",Ohio,5,2,2
4,Payroll Manager,"105,000",Connecticut,5,1,2
5,Shop Coordinator,"53,000",,6,0,2
4,Senior user experience researcher,"179,000",New York,5,3,2
4,Freelance content writer/copy editor,"77,000",Connecticut,6,1,2
4,Production Editor ,"55,000",New York,5,1,2
3,Salesforce Administrator ,"64,200",Wisconsin,3,2,Other or prefer not to answer
6,Account Manager,"43,500",Pennsylvania,6,1,2
3,Engineer,"92,000",Texas,3,1,2
6,Assistant General Counsel,"170,000",District of Columbia,6,2,2
5,Proposal Manager,"87,938",North Carolina,6,1,2
3,Pharmacist,"125,000",Pennsylvania,3,3,2
3,Technical Associate,"60,000",,1,1,2
6,"IT Director, Project Management ","186,000",New Jersey,7,1,1
4,Administrative Assistant,"49,000",,6,0,2
3,Production Editor,"51,000",New York,3,1,2
3,Staff Accountant,"61,800",Ohio,4,1,1
3,"SVP, risk management","155,000",Massachusetts,4,1,2
4,Product Coordinator,"40,000",Michigan,5,1,2
3,Statistical Analyst,"71,750",Pennsylvania,4,2,2
4,Sales Account Manager,"70,000",Wisconsin,4,2,1
4,Managing Consultant,"87,000",Minnesota,6,2,2
4,Program Manager,"157,000",Colorado,6,1,2
4,Assistant ,"65,000",New York,3,1,2
3,Senior research assistant,"42,120",New Jersey,2,1,2
3,Research Associate,"65,000",District of Columbia,3,2,2
3,Community Support Manager,"85,000",District of Columbia,4,1,1
4,Junior Project Manager,"86,000",Colorado,4,1,2
4,Business Analyst,"85,000",Pennsylvania,5,1,2
5,teacher,"94,000",Connecticut,6,3,2
5,Software Development Project Manager,"104,000",Louisiana,6,2,2
5,Human Resources Manager,"88,000",Minnesota,4,1,2
4,Program Assistant ,"52,000",California,5,0,2
3,Programmer Analyst 2,"65,000",Missouri,4,1,2
5,Sr development Manager,"175,000",Colorado,6,1,1
3,Consultant,"134,000",Oregon,4,2,2
4,Controller,"98,500",Florida,6,1,2
4,Registered behavior technician ,"43,000",,4,0,2
5,Office Administrator ,"36,712",Washington,5,0,2
4,Software Engineer,"112,000",Florida,5,1,2
3,Compliance Manager,"85,000",District of Columbia,5,1,2
3,Speech-Language Pathologist,"60,000",Ohio,4,2,2
4,Transcriptionist,"50,000",Minnesota,5,0,2
2,Disease Intervention Specialist,"52,000",Montana,2,1,2
3,Lead Planner,"57,000",Texas,3,2,2
3,Internal Auditor ,"51,000",Kentucky,3,1,2
3,CPA,"54,000",Wisconsin,3,1,2
3,Director of Distance Education,"56,000",Missouri,4,2,2
3,Assistant Professor,"56,000",Wisconsin,2,3,2
2,Program Coordinator,"39,000",District of Columbia,2,1,2
3,Billing & Accounts Receivable Coordinator ,"40,000",Ohio,4,1,2
3,Paralegal,"71,500",,4,1,2
5,"Director, Learning Content & Training","68,000",District of Columbia,5,1,2
4,Branch Manager,"65,000",Texas,5,0,2
3,Program Manager,"67,000",Massachusetts,4,2,2
3,program analyst,"126,000",District of Columbia,4,1,2
3,Planning analyst,"75,000",Florida,3,2,2
4,Representative,"50,000",California,5,2,2
5,Clinical Pharmacist ,"146,000",Massachusetts,5,3,2
3,Senior Engineer,"100,000",Colorado,4,3,2
4,Project Manager,"52,000",South Carolina,5,0,2
3,Senior Associate,"135,000",District of Columbia,4,1,2
3,Technical Project Manager,"131,000",California,4,1,2
5,Special Projects Manager,"64,000",New York,6,2,2
3,Senior employee communications specialist,"61,800",Iowa,3,1,2
2,Library Assistant,"49,000",Massachusetts,2,1,2
4,Customer Support Representative ,"38,800",Texas,5,1,2
4,Administrator,"31,000",,6,0,2
3,Financial Administrator,"50,000",Colorado,5,2,2
3,Marketing Specialist,"70,000",Virginia,4,1,2
5,Public Health Advisor,"126,000",,7,2,2
5,Payment Services Officer,"54,000",,3,1,2
3,Archivist,"107,000",Maryland,4,2,2
3,Customer Experience Manager ,"31,500",California,4,1,2
3,Technical Sales Manager,"80,000",New Hampshire,5,1,2
5,Equity Partner,"600,000",Pennsylvania,6,3,2
4,Senior Policy Advisor,"85,000",,5,2,2
3,Management Consultant,"105,000",Illinois,4,2,1
4,Counsel,"120,000",New York,5,2,2
4,Programmer Analyst,"82,000",Wisconsin,5,1,1
4,Client Service Manager,"90,000",Pennsylvania,5,1,2
4,Sales,"65,000",Illinois,5,1,2
5,Instructional designer,"80,000",North Carolina,6,1,2
4,Technical Services Team Lead,"60,000",Maryland,5,1,2
3,Data analyst,"885,000",,2,2,2
3,Proposal Manager,"180,000",North Carolina,4,1,2
4,Business Architect,"157,029",California,5,2,2
4,Backend Elixir Engineer,"120,000",Ohio,5,0,2
3,Senior Digital Content Manager,"82,000",Massachusetts,4,1,2
4,HR Manager,"83,500",South Carolina,5,2,2
4,Director of Operations,"85,000",,5,1,2
3,Prospect Researcher,"44,500",Pennsylvania,2,2,2
3,Packaging Dept Supervisor,"58,240",California,3,2,2
3,Director of Engagement and Annual Giving,"107,500",New York,5,1,2
5,Assistant Deputy Director,"155,000",California,5,2,2
3,HR Manager,"82,400",Washington,4,1,2
3,QA Analyst IT,"65,000",New York,3,1,2
3,Media Planner - Paid Social,"82,500",District of Columbia,3,1,2
3,Assistant Fabrication Manager,"34,000",Virginia,4,1,0
3,Customer Support Representative,"45,000",New Jersey,2,1,2
4,Brand Manager,"140,000",California,5,0,2
3,Records Management Analyst,"55,000",,4,1,2
3,Product Manager,"201,000",Illinois,4,2,1
4,Engineering Manager,"210,000",,5,0,1
3,Customer Success Manager,"115,000",Colorado,5,1,2
3,Software Engineer,"80,000",Minnesota,1,0,0
3,Instructional design librarian,"58,800",Illinois,3,2,2
4,Instructional Systems Specialist,"101,360",,4,2,2
4,IT Specialist I,"103,000",California,6,1,1
4,"Director, Corporate Communications ","170,000",Massachusetts,6,1,2
5,Data librarian,"112,000",,5,2,2
3,Managing Editor,"80,000",Washington,2,2,2
3,Historian,"66,805",Florida,4,3,2
4,Senior Talent Acquisition Consultant,"90,000",Massachusetts,5,2,2
4,Assistant director ,"117,000",North Carolina,5,2,2
3,Staff Therapist,"45,000",Illinois,3,2,2
4,Systems Librarian,"54,000",North Dakota,1,2,2
3,Adult Services Librarian,"33,280",,3,2,2
3,Assistant Technology Coordinator,"36,000",Michigan,3,2,2
3,Chemist,"58,000",Virginia,5,1,2
4,Doctor (Psychiatry registrar),"134,800",,4,3,2
3,Quality project lead ,"38,600",,4,1,2
4,Project Manager Specialist,"165,000",Washington,5,2,2
5,Sr. Database Analyst,"102,000",Texas,6,2,2
6,Systems Analyst,"90,000",,6,1,1
6,Senior manufacturing engineer,"136,000",,6,0,1
4,Director,"110,000",Virginia,5,2,2
4,Senior Development Manager,"72,100",New York,4,2,2
4,Accounting Manager,"75,000",Oregon,6,1,2
3,Finance assistant,"37,024",Michigan,3,3,Other or prefer not to answer
3,Associate of Talent Management and Culture,"55,000",Virginia,3,1,2
4,Film Post-Production Manager,"100,000",,6,1,1
4,Email Marketing Director,"78,000",Kansas,5,2,2
3,Publicity Coordinator,"50,000",New York,3,1,2
5,HR Business Partner,"145,000",California,6,1,2
6,Controller,"100,000",Vermont,6,1,2
3,Senior Research Analyst,"64,800",Pennsylvania,3,2,2
4,Senior Research Analyst,"70,600",Iowa,3,3,2
3,Market development rep ,"82,000",,4,2,2
5,Executive Assistant,"65,000",,5,1,2
3,Senior Manager,"75,000",California,3,1,
4,Internal communications specialist,"75,000",North Carolina,5,1,2
4,Reporter,"40,000",Iowa,5,1,2
3,CRM Analyst,"44,290",,3,2,2
4,Operations Manager ,"47,840",Maine,5,1,2
4,Director of Donor Relations,"92,000",New Jersey,5,2,2
6,State Librarian & Associate Vice Chancellor for Libraries,"165,000",Georgia,7,2,2
6,Word Processor,"39,917",Indiana,7,2,2
4,9-12 grade teacher,"53,000",Arkansas,5,1,2
3,Advocacy and Grassroot Specialist,"59,400",District of Columbia,2,2,2
2,Quality Engineer,"54,075",California,1,1,1
3,Budget Analyst,"53,895",Tennessee,2,2,2
4,Sales Operations,"76,000",New Jersey,5,0,2
3,Engineer in Training (Civil),"67,080",Iowa,2,2,2
4,Software Developer,"92,000",,5,1,1
5,Business Systems Manager ,"115,000",Minnesota,6,0,2
3,"Assistant Director, Data Integrity","72,000",Massachusetts,4,2,2
3,Content Development Manager ,"71,400",Ohio,4,1,2
3,Inside Sales - Projects,"64,000",Ohio,3,2,2
4,Senior Tax/Fixed Asset Specialist,"53,000",Alabama,6,1,2
6,Senior Editor,"72,000",Virginia,6,1,2
5,Senior Software Engineer ,"120,000",Texas,6,0,1
3,Director ,"45,000",,4,1,2
4,Deputy Director,"103,500",Massachusetts,5,2,2
4,Director of Accounting,"139,000",Texas,5,1,2
3,Program Coordinator,"38,110",Texas,3,2,0
4,"Manager, Production","90,000",California,5,2,1
3,paralegal,"53,000",Minnesota,4,1,2
3,Assistant Media Relations Manager,"32,033",,5,1,2
4,"Manager, Reporting and Analytics","117,000",Texas,5,2,2
4,Account Manager ,"100,000",District of Columbia,5,2,2
4,Project Assistant,"52,000",Minnesota,5,1,2
3,HR Coordinator,"40,000",Illinois,3,2,2
3,Executive Assistant,"52,000",,5,0,2
2,Office Operations Associate,"32,000",Wisconsin,2,1,2
3,Archives Assistant,"37,500",,3,2,2
3,HR Project Associate,"60,500",Washington,3,1,2
4,Museum Director Curator,"60,000",,5,1,2
3,Legal Assistant,"40,000",,3,1,2
3,Civil Engineer,"87,000",Texas,3,1,2
3,Data Engineer,"95,000",Maryland,4,1,1
